año,military,education,Research and development,health
2005,3.352873388,4.020989895,0.15086,6.06709814
2006,3.276130639,3.916719913,0.1495,6.33551502
2007,3.266739663,4.083010197,0.18455,6.49102831
2008,3.744606437,3.938780069,0.20125,6.84192705
2009,3.885353868,4.776519775,0.19608,7.31134653
2010,3.642755602,4.83382988,0.19501,7.07130146
2011,3.081613642,4.466080189,0.20595,6.78076839
2012,3.158960235,4.370389938,0.23378,6.74599648
2013,3.274401004,4.878550053,0.27111,7.01724052
2014,3.108258848,4.629459858,0.30563,7.18553209
2015,3.109960084,4.470389843,0.28975,7.52338552
2016,3.071131026,4.477210045,0.26694,7.53117037
2017,3.209062437,4.535510063,0.24286,7.67864275
2018,3.062105511,4.449100018,0.23462,7.63980007

